,DAY,SKU,Location,Alley,AlleyCell,Max,Min,WEEK-1,WEEK-2,WEEK-3,WEEK-4,WEEK-5
6212,TUE,306453,A0926503,A09,A0926,1200.0,900.0,0.0,0.0,0.0,1.0,0.0
6213,TUE,306455,A0940501,A09,A0940,1200.0,900.0,1.0,0.0,0.0,0.0,0.0
6214,TUE,306456,A0935303,A09,A0935,1200.0,900.0,2.0,2.0,2.0,0.0,0.0
6215,TUE,306603,A0639401,A06,A0639,48.0,36.0,0.0,1.0,0.0,0.0,0.0
6216,TUE,306731,A0718204,A07,A0718,180.0,135.0,0.0,1.0,1.0,0.0,0.0
6217,TUE,307011,A0117501,A01,A0117,80.0,60.0,0.0,0.0,0.0,1.0,0.0
6218,TUE,307246,A0215204,A02,A0215,48.0,36.0,0.0,0.0,0.0,1.0,0.0
6219,TUE,307842,A1039202,A10,A1039,10.0,8.0,1.0,3.0,2.0,0.0,3.0
6220,TUE,308048,A0911404,A09,A0911,3200.0,2400.0,0.0,1.0,0.0,0.0,1.0
6221,TUE,308049,A0912102,A09,A0912,3200.0,2400.0,0.0,1.0,0.0,1.0,0.0
6222,TUE,308050,A0921304,A09,A0921,3200.0,2400.0,0.0,2.0,0.0,0.0,0.0
6223,TUE,308056,A1029501,A10,A1029,3200.0,2400.0,0.0,0.0,0.0,1.0,0.0
6224,TUE,308057,A0903504,A09,A0903,800.0,600.0,0.0,0.0,3.0,0.0,1.0
6225,TUE,308166,A0208508,A02,A0208,800.0,600.0,0.0,1.0,0.0,0.0,0.0
6226,TUE,308519,A0520203,A05,A0520,0.0,0.0,1.0,14.0,12.0,4.0,4.0
6227,TUE,308980,A0921301,A09,A0921,160.0,120.0,0.0,0.0,0.0,0.0,1.0
6228,TUE,309186,A0634403,A06,A0634,800.0,600.0,1.0,0.0,0.0,0.0,0.0
6229,TUE,309237,A1027301,A10,A1027,480.0,360.0,6.0,4.0,3.0,3.0,4.0
6230,TUE,309244,A1024104,A10,A1024,480.0,360.0,0.0,8.0,1.0,1.0,5.0
6231,TUE,309428,A1011304,A10,A1011,540.0,405.0,0.0,135.0,1.0,1.0,0.0
6232,TUE,309462,A1107203,A11,A1107,10.0,8.0,0.0,0.0,6.0,0.0,6.0
6233,TUE,309463,A0844103,A08,A0844,10.0,8.0,0.0,0.0,1.0,0.0,0.0
6234,TUE,309491,A0520204,A05,A0520,140.0,105.0,0.0,0.0,0.0,0.0,1.0
6235,TUE,309529,A0426203,A04,A0426,240.0,180.0,0.0,0.0,1.0,0.0,0.0
6236,TUE,309783,A0202205,A02,A0202,800.0,600.0,1.0,0.0,0.0,0.0,0.0
6237,TUE,309966,A0813304,A08,A0813,200.0,150.0,0.0,0.0,2.0,0.0,0.0
6238,TUE,309971,A0815301,A08,A0815,46.0,35.0,0.0,0.0,1.0,0.0,0.0
6239,TUE,309974,A0823104,A08,A0823,120.0,90.0,0.0,0.0,0.0,0.0,1.0
6240,TUE,310263,A0530202,A05,A0530,240.0,180.0,1.0,1.0,2.0,0.0,4.0
6241,TUE,310265,A0638502,A06,A0638,96.0,72.0,2.0,0.0,0.0,0.0,0.0
6242,TUE,310670,A0602301,A06,A0602,96.0,72.0,0.0,0.0,2.0,0.0,1.0
6243,TUE,310751,A0828204,A08,A0828,10.0,8.0,14.0,4.0,3.0,2.0,8.0
6244,TUE,311049,A0209503,A02,A0209,800.0,600.0,1.0,0.0,1.0,1.0,0.0
6245,TUE,311341,A0618202,A06,A0618,0.0,0.0,2.0,0.0,3.0,0.0,3.0
6246,TUE,311355,A0814101,A08,A0814,45.0,34.0,0.0,2.0,0.0,2.0,0.0
6247,TUE,311390,A0338305,A03,A0338,288.0,216.0,0.0,1.0,0.0,1.0,0.0
6248,TUE,311642,A0411503,A04,A0411,75.0,56.0,2.0,0.0,0.0,1.0,1.0
6249,TUE,311643,A0413202,A04,A0413,80.0,60.0,0.0,1.0,0.0,0.0,0.0
6250,TUE,311655,A1008401,A10,A1008,800.0,600.0,5.0,20.0,1.0,1.0,1.0
6251,TUE,311657,A1006204,A10,A1006,800.0,600.0,3.0,2.0,5.0,1.0,2.0
6252,TUE,311658,A1001502,A10,A1001,0.0,0.0,3.0,4.0,1.0,1.0,1.0
6253,TUE,311661,A1005303,A10,A1005,1200.0,900.0,1.0,0.0,4.0,1.0,2.0
6254,TUE,311662,A1005201,A10,A1005,1200.0,900.0,1.0,0.0,4.0,0.0,2.0
6255,TUE,311664,A1002202,A10,A1002,0.0,0.0,11.0,1.0,5.0,0.0,1.0
6256,TUE,311667,A1008404,A10,A1008,120.0,90.0,0.0,3.0,0.0,0.0,1.0
6257,TUE,311668,A0916402,A09,A0916,0.0,0.0,1.0,3.0,0.0,1.0,1.0
6258,TUE,311670,A1008403,A10,A1008,83.0,62.0,1.0,2.0,0.0,1.0,0.0
6259,TUE,311671,A1009304,A10,A1009,275.0,206.0,1.0,5.0,1.0,0.0,5.0
6260,TUE,311672,A1008501,A10,A1008,109.0,82.0,0.0,4.0,2.0,0.0,0.0
6261,TUE,311673,A1007301,A10,A1007,120.0,90.0,0.0,3.0,0.0,0.0,0.0
6262,TUE,311674,A0933101,A09,A0933,0.0,0.0,1.0,2.0,1.0,0.0,0.0
6263,TUE,311677,A1106104,A11,A1106,55.0,41.0,0.0,1.0,1.0,2.0,2.0
6264,TUE,312496,A0727404,A07,A0727,60.0,45.0,0.0,0.0,0.0,0.0,2.0
6265,TUE,312498,A0728202,A07,A0728,108.0,81.0,0.0,0.0,0.0,0.0,1.0
6266,TUE,313599,A0604404,A06,A0604,72.0,54.0,0.0,0.0,2.0,0.0,2.0
6267,TUE,314139,A0539301,A05,A0539,216.0,162.0,1.0,1.0,0.0,0.0,1.0
6268,TUE,314141,A0727502,A07,A0727,102.0,77.0,1.0,3.0,6.0,0.0,2.0
6269,TUE,314163,A0711104,A07,A0711,120.0,90.0,1.0,0.0,0.0,0.0,0.0
6270,TUE,314164,A0509203,A05,A0509,140.0,105.0,0.0,0.0,1.0,0.0,0.0
6271,TUE,314571,A0637304,A06,A0637,420.0,315.0,2.0,0.0,0.0,0.0,0.0
6272,TUE,314574,A0637402,A06,A0637,256.0,192.0,0.0,0.0,0.0,0.0,1.0
6273,TUE,314575,A0706304,A07,A0706,288.0,216.0,0.0,0.0,0.0,1.0,0.0
6274,TUE,314576,A0638101,A06,A0638,34.0,26.0,0.0,0.0,0.0,0.0,1.0
6275,TUE,314689,A0335203,A03,A0335,156.0,117.0,0.0,1.0,0.0,0.0,0.0
6276,TUE,314698,A0701302,A07,A0701,256.0,192.0,1.0,0.0,1.0,0.0,0.0
6277,TUE,314699,A0635203,A06,A0635,366.0,275.0,2.0,0.0,0.0,1.0,2.0
6278,TUE,314780,A0238302,A02,A0238,727.0,545.0,1.0,0.0,0.0,0.0,0.0
6279,TUE,315156,A0314106,A03,A0314,96.0,72.0,0.0,0.0,0.0,0.0,2.0
6280,TUE,315206,A0728203,A07,A0728,96.0,72.0,1.0,1.0,4.0,7.0,10.0
6281,TUE,315314,A0305102,A03,A0305,144.0,108.0,0.0,1.0,4.0,3.0,1.0
6282,TUE,315382,A0605301,A06,A0605,160.0,120.0,1.0,0.0,2.0,0.0,0.0
6283,TUE,315398,A0603501,A06,A0603,224.0,168.0,1.0,0.0,0.0,0.0,1.0
6284,TUE,315699,A0604201,A06,A0604,96.0,72.0,0.0,0.0,0.0,1.0,4.0
6285,TUE,315715,A0902104,A09,A0902,3200.0,2400.0,0.0,0.0,0.0,0.0,1.0
6286,TUE,315716,A1021501,A10,A1021,4000.0,3000.0,0.0,0.0,2.0,0.0,2.0
6287,TUE,315717,A1031503,A10,A1031,4000.0,3000.0,0.0,0.0,1.0,0.0,1.0
6288,TUE,315722,A0907302,A09,A0907,3200.0,2400.0,0.0,0.0,0.0,0.0,2.0
6289,TUE,315723,A0917501,A09,A0917,3200.0,2400.0,0.0,0.0,2.0,2.0,3.0
6290,TUE,315913,A0541102,A05,A0541,120.0,90.0,1.0,0.0,0.0,0.0,0.0
6291,TUE,316455,A0736404,A07,A0736,288.0,216.0,1.0,1.0,1.0,0.0,1.0
6292,TUE,316645,A1008204,A10,A1008,800.0,600.0,0.0,1.0,0.0,0.0,0.0
6293,TUE,318147,A0937404,A09,A0937,600.0,450.0,0.0,1.0,0.0,0.0,0.0
6294,TUE,318156,A0920302,A09,A0920,600.0,450.0,0.0,0.0,1.0,0.0,2.0
6295,TUE,318158,A0929201,A09,A0929,600.0,450.0,0.0,0.0,1.0,0.0,0.0
6296,TUE,318178,A0929404,A09,A0929,600.0,450.0,0.0,0.0,1.0,0.0,0.0
6297,TUE,318212,A0723303,A07,A0723,0.0,0.0,6.0,3.0,2.0,3.0,1.0
6298,TUE,318273,A0904102,A09,A0904,400.0,300.0,1.0,0.0,1.0,2.0,1.0
6299,TUE,318275,A0908403,A09,A0908,816.0,612.0,1.0,0.0,2.0,1.0,4.0
6300,TUE,318277,A0939504,A09,A0939,720.0,540.0,0.0,0.0,0.0,1.0,0.0
6301,TUE,318334,A0403301,A04,A0403,320.0,240.0,0.0,0.0,0.0,0.0,1.0
6302,TUE,318416,A0219504,A02,A0219,150.0,113.0,0.0,1.0,1.0,2.0,0.0
6303,TUE,318834,A0510302,A05,A0510,192.0,144.0,0.0,2.0,0.0,0.0,0.0
6304,TUE,318835,A0529201,A05,A0529,180.0,135.0,0.0,1.0,1.0,0.0,0.0
6305,TUE,319198,A0938402,A09,A0938,10.0,8.0,0.0,0.0,0.0,0.0,1.0
6306,TUE,319330,A1032302,A10,A1032,10.0,8.0,1.0,3.0,6.0,2.0,1.0
6307,TUE,319336,A1034502,A10,A1034,10.0,8.0,6.0,9.0,10.0,2.0,7.0
6308,TUE,319477,A0214502,A02,A0214,99.0,74.0,1.0,0.0,1.0,0.0,0.0
6309,TUE,319483,A0214107,A02,A0214,160.0,120.0,1.0,1.0,0.0,0.0,1.0
6310,TUE,320603,A0444104,A04,A0444,240.0,180.0,0.0,1.0,0.0,0.0,0.0
6311,TUE,320616,A0444202,A04,A0444,240.0,180.0,1.0,0.0,0.0,1.0,0.0
6312,TUE,320620,A0318508,A03,A0318,400.0,300.0,1.0,0.0,0.0,0.0,0.0
6313,TUE,320648,A0605304,A06,A0605,96.0,72.0,2.0,1.0,2.0,0.0,0.0
6314,TUE,321111,A0422504,A04,A0422,100.0,75.0,0.0,0.0,0.0,0.0,1.0
6315,TUE,321115,A0430101,A04,A0430,168.0,126.0,0.0,1.0,0.0,1.0,0.0
6316,TUE,321116,A0424401,A04,A0424,168.0,126.0,0.0,0.0,1.0,1.0,0.0
6317,TUE,321564,A0742203,A07,A0742,60.0,45.0,2.0,1.0,1.0,1.0,4.0
6318,TUE,321566,A0738202,A07,A0738,140.0,105.0,0.0,1.0,0.0,1.0,1.0
6319,TUE,321567,A0742103,A07,A0742,60.0,45.0,0.0,0.0,2.0,0.0,1.0
6320,TUE,321568,A0742101,A07,A0742,60.0,45.0,1.0,1.0,4.0,0.0,0.0
6321,TUE,321569,A0742104,A07,A0742,60.0,45.0,3.0,4.0,7.0,0.0,3.0
6322,TUE,321570,A0703402,A07,A0703,60.0,45.0,1.0,0.0,0.0,0.0,0.0
6323,TUE,321571,A0742204,A07,A0742,120.0,90.0,0.0,1.0,0.0,0.0,0.0
6324,TUE,321572,A0542302,A05,A0542,42.0,32.0,1.0,4.0,0.0,0.0,1.0
6325,TUE,321597,A0406303,A04,A0406,144.0,108.0,0.0,3.0,3.0,0.0,2.0
6326,TUE,321842,A0235502,A02,A0235,96.0,72.0,0.0,0.0,0.0,0.0,1.0
6327,TUE,321894,A0809403,A08,A0809,75.0,56.0,0.0,0.0,1.0,0.0,0.0
6328,TUE,322055,A0730502,A07,A0730,150.0,113.0,0.0,5.0,5.0,4.0,5.0
6329,TUE,322349,A1016504,A10,A1016,800.0,600.0,2.0,0.0,2.0,0.0,0.0
